Stock,FC Est. Ann. Net Income Surprise %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Techno Electric,31.51%,1228.5,"14,287.4",39.05,4.08,0.82,1.89%,44.1%,"31 Dec, 2024"
ACC,32.99%,1944.3,"36,511.5",15.19,2.18,5.26,-31.21%,2.35%,"31 Mar, 2025"
Sudarshan Chemical,33.74%,1095.9,"8,610.8",73.04,7.09,-1.13,-98.28%,-4.26%,"31 Dec, 2024"
Kansai Nerolac,35.29%,262.1,"21,190.5",18.54,3.75,-5.17,-84.07%,-5.48%,"31 Mar, 2025"
NLC,35.73%,239.94,"33,271",12.69,1.87,0.31,-27.86%,-13.04%,"31 Mar, 2025"
Embassy Office Parks REIT,36.06%,389.87,"36,955.5",22.75,1.54,0.33,-253.53%,6.31%,"31 Mar, 2025"
National Aluminium,36.37%,184.95,"33,968.5",6.45,2.17,0.04,31.98%,12.99%,"31 Mar, 2025"
Varroc Engineering,36.39%,503.65,"7,695.1",78.92,4.79,-0.98,-185.18%,-0.26%,"31 Dec, 2024"
Barbeque-Nation,36.45%,316.95,"1,238.6",-44.58,3.07,0.42,-547.07%,-10.98%,"31 Mar, 2025"
Delhivery,36.92%,350.9,"26,180.5",161.5,2.83,0.98,190.37%,-7.85%,"31 Mar, 2025"
Deepak Fertilisers,37.23%,1361.5,"17,187.3",18.41,3.16,0.17,10.58%,3.42%,"31 Mar, 2025"
Azad Engineering,38.49%,1817.8,"11,739.7",152.5,17.16,4.83,13.86%,8.02%,"31 Dec, 2024"
Ahluwalia Contracts,47.22%,934.75,"6,261.7",19.66,3.76,0.68,28.03%,-5.88%,"31 Dec, 2024"
Dalmia Bharat Sugar,51.9%,440,"3,561.3",8.64,1.17,0.17,193.36%,21.16%,"31 Mar, 2025"
Tata Communications,53.01%,1667.4,"47,520.9",25.88,26.73,0.29,340.9%,3.32%,"31 Mar, 2025"
Birla Corporation,58.61%,1390.7,"10,709.1",36.27,1.54,-1.22,722.73%,24.74%,"31 Mar, 2025"
India Cements,69.16%,328.8,"10,189.4",-70.92,1.94,-1.93,-88%,27.26%,"31 Mar, 2025"
Tube Investments,79.34%,2984.9,"57,756",85.93,10.83,-1.96,-75.96%,7.02%,"31 Mar, 2025"
Entero Healthcare,98.03%,1452.2,"6,318.2",70.12,3.75,0.13,7.72%,4.48%,"31 Dec, 2024"
Mangalore Refinery,156.2%,137.19,"24,043.9",427.76,1.95,-4.35,19.83%,12.46%,"31 Mar, 2025"
Huhtamaki,204.39%,201.29,"1,520.2",17.26,1.29,-0.22,123.7%,-1.48%,"31 Mar, 2025"
Prism Johnson,216.52%,140.66,"7,080.2",91.87,5.47,-1.6,168.7%,13.12%,"31 Mar, 2025"
Nuvoco Vistas,221.6%,357.9,"12,782.6",585.28,1.44,-6.87,369.74%,26.27%,"31 Mar, 2025"
Indian Hume Pipe Company,628.52%,424.75,"2,237.7",4.01,2.59,0.01,"3,375.46%",3.02%,"31 Mar, 2025"
Aster DM Healthcare,"1,465.28%",569.8,"29,522.5",5.49,8.55,0,39.14%,-4.71%,"31 Mar, 2025"
