Stock,FC Est. Qtr EPS Surprise %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Petronet LNG,33.27%,320.25,"48,037.5",12.09,2.54,1.38,21.43%,0.73%,"31 Mar, 2025"
Chemplast Sanmar,33.53%,431.1,"6,816.1",-61.75,3.92,-2.04,-10.96%,8.83%,"31 Mar, 2025"
Anupam Rasayan,35.26%,957.2,"10,522.6",132.05,3.78,-2.73,69.08%,32.72%,"31 Dec, 2024"
Aditya Birla Fashion,38.46%,89.85,"10,964.4",-17.45,2.58,2.38,72.4%,18.14%,"31 Dec, 2024"
Honasa Consumer,38.6%,275.16,"8,947.8",123.1,-12.79,-3.52,-4.02%,3.1%,"31 Mar, 2025"
Bank of India,38.94%,116.45,"53,015.8",5.55,0.72,0.12,-1.32%,0.88%,"31 Mar, 2025"
Medplus Health,41.48%,887.55,"10,623.4",80.25,6.49,0.64,18.46%,-0.93%,"31 Dec, 2024"
G R Infraprojects,43.59%,1282.1,"12,403.1",12.22,1.56,-0.52,54.33%,34.29%,"31 Mar, 2025"
CESC,44.1%,168.21,"22,297.4",16.29,1.85,-32.01,40.75%,8.87%,"31 Mar, 2025"
Ramco Systems,44.2%,440.25,"1,641.4",-47.93,5.28,-0.56,152.22%,-0.86%,"31 Mar, 2025"
Glenmark Pharma,47.54%,1431.4,"40,394.2",-229.73,4.78,-2.91,-1.77%,-1.35%,"31 Dec, 2024"
Dalmia Bharat,48.81%,2106.9,"39,518.1",57.86,2.26,-3.34,613.11%,28.61%,"31 Mar, 2025"
Schneider Electric,54.17%,669.45,"16,006.8",73.91,40.06,53.19,103.67%,42.94%,"31 Dec, 2024"
Dr. Lal Pathlabs,57.65%,2820.2,"23,574.5",48.4,11.78,1.34,60.08%,0.99%,"31 Mar, 2025"
India Cements,58.04%,328.8,"10,189.4",-70.92,1.94,-1.93,-88%,27.26%,"31 Mar, 2025"
SKF,60.16%,4592.7,"22,705.4",40.12,9.9,15.68,85.64%,-3.4%,"31 Mar, 2025"
S H Kelkar & Company,83.53%,240.22,"3,325.1",45.4,2.86,-1.13,485.16%,4.45%,"31 Mar, 2025"
Brainbees Solutions,84.55%,357.95,"18,661.3",-112.1,3.94,-,84.48%,14.04%,"31 Dec, 2024"
Nuvoco Vistas,92.92%,357.9,"12,782.6",585.28,1.44,-6.87,369.74%,26.27%,"31 Mar, 2025"
RBL Bank,116.5%,207.89,"12,655.4",17.65,0.82,-0.41,83.83%,-1.7%,"31 Mar, 2025"
Infibeam Avenues,130%,19.18,"5,350.3",23.66,1.48,0.45,41.59%,5.28%,"31 Dec, 2024"
Welspun Corp,163.92%,766.75,"20,182.5",13.65,3.34,0.37,135.13%,9.44%,"31 Dec, 2024"
Tube Investments,216.81%,2984.9,"57,756",85.93,10.83,-1.96,-75.96%,7.02%,"31 Mar, 2025"
Delhivery,284%,350.9,"26,180.5",161.5,2.83,0.98,190.37%,-7.85%,"31 Mar, 2025"
CreditAccess Grameen,300.68%,1118.8,"17,870.7",33.63,2.56,-0.53,147.44%,1.9%,"31 Mar, 2025"
