Stock,FC Est. No of bearish Est.ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
The Ramco Cements,9,987.8,"23,341",62.36,3.22,-31.79,609.65%,-2.97%,"31 Dec, 2024"
Rallis,9,281.5,"5,474.3",43.79,2.84,-2.82,-390.91%,-17.62%,"31 Mar, 2025"
JSW Steel,9,1005.6,"2,45,914.9",74.52,3.09,-1.06,63.33%,4.27%,"31 Dec, 2024"
IndusInd Bank,9,785,"61,155.8",23.74,0.93,-0.33,-266.07%,-16.93%,"31 Mar, 2025"
Aarti Industries,9,468.85,"16,996.8",51.33,3.12,-2.5,108.7%,5.92%,"31 Mar, 2025"
Tata Technologies,10,763.65,"30,978.9",45.76,9.64,-128.95,12%,-2.41%,"31 Mar, 2025"
YES Bank,10,20.97,"65,753.9",26.88,1.42,0.3,20.21%,-2.68%,"31 Mar, 2025"
SAIL,10,125.74,"51,937.2",23.12,0.9,-0.84,-84.18%,-0.75%,"31 Dec, 2024"
Page Industries,10,47865,"53,388.1",73.22,35.83,2.61,-19.86%,-16.37%,"31 Mar, 2025"
Divi's Laboratories,10,6538,"1,73,563.4",79.22,12.65,2.14,12.39%,11.47%,"31 Mar, 2025"
Berger Paints,10,566.4,"66,036.3",55.93,11.81,50.63,-11.21%,-9.11%,"31 Mar, 2025"
Avenue Supermarts,11,4082.7,"2,65,674.8",98.11,13.19,14.48,-23.88%,-6.89%,"31 Mar, 2025"
Tata Elxsi,11,6202.5,"38,632",49.22,15.54,-51.92,-13.36%,-3.28%,"31 Mar, 2025"
Petronet LNG,11,320.25,"48,037.5",12.09,2.54,1.38,21.43%,0.73%,"31 Mar, 2025"
Persistent Systems,11,5582.5,"87,003.3",62.14,15.64,2.22,6.1%,5.87%,"31 Mar, 2025"
Nestle,11,2361.7,"2,27,705",70.99,58.33,-3.85,26.95%,15.15%,"31 Mar, 2025"
Gujarat Gas,11,462.95,"31,869",27.75,4,68.71,30.27%,-1.23%,"31 Mar, 2025"
Colgate-Palmolive,11,2487.1,"67,645.5",47.08,40.93,5.51,9.98%,0.05%,"31 Mar, 2025"
L&T Technology,12,4458,"47,201.5",37.26,8.4,-13.16,-3.5%,12.42%,"31 Mar, 2025"
Tech Mahindra,12,1565.6,"1,53,283.3",36.05,5.79,0.45,18.66%,0.74%,"31 Mar, 2025"
Shree Cements,12,31410,"1,13,329.5",100.94,5.43,-1.9,196.96%,20.98%,"31 Mar, 2025"
Vodafone Idea,12,6.75,"73,131.6",-2.62,-1.29,-0.38,7.9%,1.69%,"31 Dec, 2024"
Dr. Reddy's Labs,13,1222.2,"1,01,987.1",18.03,3.32,13.03,12.7%,1.76%,"31 Mar, 2025"
Wipro,19,245.94,"2,57,708.9",19.62,3.17,1.04,6.43%,0.83%,"31 Mar, 2025"
Asian Paints,21,2299.2,"2,20,538.8",60.14,12.24,-1.83,-37.67%,-2.23%,"31 Mar, 2025"
