Stock,FC Est. 3M Analysts Upgradeⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Birla Corporation,1,1390.7,"10,709.1",36.27,1.54,-1.22,722.73%,24.74%,"31 Mar, 2025"
Biocon,1,333.1,"39,992",39.47,1.9,-43.86,"1,272.51%",15.59%,"31 Mar, 2025"
Bajaj Auto,1,8733.5,"2,43,889.6",32.37,7.87,18.05,58.48%,-0.59%,"31 Dec, 2024"
APL Apollo Tubes,1,1829.5,"50,773.1",67.07,13.19,19.95,35.09%,1.4%,"31 Mar, 2025"
Swiggy Ltd.,2,315.05,"78,562.4",-25.21,-12.86,0.77,-35.3%,10.44%,"31 Mar, 2025"
Protean eGov Tech,2,1004.35,"4,072.3",44.04,-,-6.22,-11.03%,9.81%,"31 Mar, 2025"
Nuvoco Vistas,2,357.9,"12,782.6",585.28,1.44,-6.87,369.74%,26.27%,"31 Mar, 2025"
Metropolis Healthcare,2,1627.4,"8,430.2",58.15,7.12,4.33,-7.08%,6.98%,"31 Mar, 2025"
Dalmia Bharat,2,2106.9,"39,518.1",57.86,2.26,-3.34,613.11%,28.61%,"31 Mar, 2025"
Tech Mahindra,2,1565.6,"1,53,283.3",36.05,5.79,0.45,18.66%,0.74%,"31 Mar, 2025"
Swaraj Engines,2,4089.1,"4,967.2",29.93,14.53,1.47,42.16%,31.45%,"31 Mar, 2025"
Supreme Industries,2,3822,"48,549.7",50.53,9.15,-4.97,57.21%,20.61%,"31 Mar, 2025"
State Bank,2,785.25,"7,00,805.8",9.04,1.46,0.66,3.96%,1.88%,"31 Mar, 2025"
Hindustan Petroleum,2,401.25,"85,378.9",12.68,1.86,-0.22,34.27%,-0.88%,"31 Mar, 2025"
HDFC Bank,2,1919.9,"14,70,270.2",20.77,3.07,1.98,6.67%,2.05%,"31 Mar, 2025"
Dr. Reddy's Labs,2,1222.2,"1,01,987.1",18.03,3.32,13.03,12.7%,1.76%,"31 Mar, 2025"
Axis Bank,2,1188.5,"3,68,416.8",13.13,2.15,2.08,10.87%,0.9%,"31 Mar, 2025"
Alembic Pharma,2,971.2,"19,090.2",32.72,3.91,-6.22,13.34%,4.54%,"31 Mar, 2025"
Ambuja Cements,2,567.75,"1,39,843.8",33.5,2.78,2.01,-54.79%,6%,"31 Mar, 2025"
Amber Enterprises,3,6561.5,"22,205.4",91.17,10.52,1.09,223.59%,75.96%,"31 Mar, 2025"
Au SF Bank,3,689.15,"51,329.2",24.37,3.2,0.65,-4.68%,3.82%,"31 Mar, 2025"
Titan Company,3,3541,"3,14,365.1",94.21,32.29,-21.22,-16.81%,-15.92%,"31 Mar, 2025"
KEI Industries,3,3458.2,"33,044",47.45,9.55,2.38,37.46%,18.14%,"31 Mar, 2025"
Bajaj Electricals,4,662.5,"7,641.4",57.27,5.22,32.08,77.01%,-1.88%,"31 Mar, 2025"
HCL Technologies,5,1633,"4,43,141.5",25.48,6.43,2.37,-6.19%,1.19%,"31 Mar, 2025"
