Stock,FC Est. 1Y fwd Ann. Revenue Growth %ⓘ,LTPⓘ,Market Capⓘ,PE TTMⓘ,PBVⓘ,PEG TTMⓘ,Net Profit QoQ Growth %ⓘ,Revenue QoQ Growth %ⓘ,Latest Financial Resultⓘ
Archean Chemical,51.91%,624.85,"7,712.4",47.56,4.37,-0.97,11.61%,42.63%,"31 Mar, 2025"
Techno Electric,54.55%,1228.5,"14,287.4",39.05,4.08,0.82,1.89%,44.1%,"31 Dec, 2024"
Shaily Engineering,54.93%,1788.8,"8,220",88.27,16.61,1.41,13.46%,10.25%,"31 Mar, 2025"
Unicommerce eSolutions,55.78%,140.19,"1,447.7",66.76,18.62,1.01,6.47%,-6.8%,"31 Mar, 2025"
Imagicaaworld,56.3%,64.49,"3,649.1",53.99,3.32,-0.66,148.85%,129.8%,"31 Dec, 2024"
Kaynes Technology,57.85%,5932.5,"38,018",129.47,14.63,2.15,74.84%,48.9%,"31 Mar, 2025"
Signatureglobal,59.14%,1206.4,"16,951.2",167.7,26.63,1.12,109.83%,-37.12%,"31 Mar, 2025"
ACME Solar Holdings Ltd.,62.97%,252.65,"15,287.5",60.64,7.74,-0.95,10.09%,39.5%,"31 Mar, 2025"
Olectra Greentech,64.37%,1257.4,"10,320.8",78.43,10.51,1.77,-2.6%,-1.59%,"31 Dec, 2024"
HEG,65.31%,480.2,"9,266.8",80.55,2.09,-1.28,-188.33%,13.35%,"31 Mar, 2025"
Sunteck Realty,65.45%,415.5,"6,086.6",40.49,1.93,0.36,18.5%,27.38%,"31 Mar, 2025"
Gokaldas Exports,66.02%,962.05,"7,016.2",44.25,4.72,2.1,5.01%,2.79%,"31 Mar, 2025"
Transformers & Rectifiers,66.94%,508.05,"15,249.9",71.17,13.82,0.19,72.03%,20.94%,"31 Mar, 2025"
Suzlon Energy,73.22%,61.01,"83,271.5",72.82,18.53,1.09,93.27%,41.43%,"31 Dec, 2024"
JSW Energy,81.42%,499.95,"87,379.7",44.79,3.12,3.38,143.13%,30.77%,"31 Mar, 2025"
Senores Pharmaceuticals Ltd.,88.83%,512.7,"2,361.2",-,7.76,-,3.78%,10.86%,"31 Mar, 2025"
ideaForge Technology,92.73%,542.5,"2,342.2",-37.61,3.58,0.16,-7.03%,15.32%,"31 Mar, 2025"
Arvind SmartSpaces,93.89%,702.05,"3,211.8",29.07,6.1,0.18,-59.89%,-22.39%,"31 Mar, 2025"
Mahindra Lifespace,97.47%,366.05,"5,677.5",92.63,3.1,-2.46,478.3%,-94.48%,"31 Mar, 2025"
Genus Power,100.7%,345.9,"10,512.9",49.49,6.23,0.16,-31.81%,24.1%,"31 Dec, 2024"
Yatra Online,103.14%,99.87,"1,567.1",58.2,2.07,0.02,37.1%,-0.48%,"31 Dec, 2024"
Max Estates,103.99%,460.65,"7,416.9",336.87,3.37,1.06,817.95%,-0.34%,"31 Dec, 2024"
Inox Wind,130.94%,184.18,"24,013.3",77.99,9,0.31,25.61%,24.45%,"31 Dec, 2024"
Lloyds Metals & Energy,143.73%,1329.4,"69,559.8",47.98,12.02,2.88,-48.14%,-28.77%,"31 Mar, 2025"
Cohance Lifesciences,146.04%,1080.5,"27,505.8",98.5,13.9,-3.99,0.81%,19.18%,"31 Dec, 2024"
